#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-07-03T20:22:50 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ5b3bdabe8aef 
#INFO -out.max=unlimited 
#INFO queryParameters=17 
#-oc.form=sexa
#-out.max=unlimited
#-nav=cat:J/A+A/568/A22&tab:{J/A+A/568/A22/tablef3}&key:source=J/A+A/568/A22/tablef3&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/568/A22/tablef3
#-order=I
#-out=Name
#-out=zcmb
#-out=mb
#-out=e_mb
#-out=x1
#-out=e_x1
#-out=c
#-out=e_c
#

#RESOURCE=yCat_35680022
#Name: J/A+A/568/A22
#Title: Joint analysis of the SDSS-II and SNLS SNe Ia (Betoule+, 2014)
#Table J_A_A_568_A22_tablef3:
#Name: J/A+A/568/A22/tablef3
#Title: Supernovae light-curve parameters
#---Details of Columns:
    Name       (a12)   Supernovae name [ucd=meta.id;meta.main]
    zcmb       (F6.3)  [0,1.4] CMB frame redshift (1) [ucd=src.redshift]
sn2006nz      0.037 18.130  0.114 -2.863  0.216  0.229  0.020
sn2006oa      0.061 17.836  0.111  0.909  0.153 -0.041  0.016
sn2006ob      0.059 18.196  0.111 -2.366  0.118 -0.044  0.018
sn2006on      0.070 18.412  0.111  0.548  0.213  0.079  0.021
sn2006qo      0.030 16.835  0.142  0.467  0.060  0.166  0.027
sn2006s       0.033 16.841  0.140  0.971  0.067  0.021  0.022
sn2006sr      0.024 16.150  0.143 -1.290  0.114 -0.002  0.023
sn2006td      0.016 15.720  0.153 -1.321  0.108  0.090  0.027
sn2007ae      0.063 17.798  0.140  1.849  0.293 -0.010  0.031
sn2007bc      0.022 15.902  0.146 -1.224  0.081 -0.014  0.029
sn2007bd      0.032 16.581  0.141 -1.381  0.064 -0.048  0.027
sn2007ci      0.019 15.893  0.149 -2.724  0.099  0.027  0.028
sn2007co      0.027 16.504  0.142 -0.138  0.061  0.105  0.020
sn2007cq      0.025 15.798  0.143 -0.658  0.116 -0.061  0.026
sn2007f       0.024 15.896  0.144  0.619  0.041 -0.055  0.026
sn2007qe      0.024 16.068  0.144  0.761  0.046  0.052  0.026
sn2008bf      0.022 15.719  0.145  0.431  0.069 -0.038  0.021

#END#  -ref=VIZ5b3bdabe8aef ==================================================================
